Mean absolute influence
1: ('The Oshkosh Northwestern', 1.9811823905775923, 2.962264074023909, -0.01901902368495903, 1, 3)
2: ('Simply Wall St', 0.5201337902080856, 0.9702306255154035, -0.031086267229941893, 7, 217)
3: ('TIME', 0.32520331605363934, 0.32520331605363934, 0, 1, 1)
4: ('Telegraph.co.uk', 0.32520331605363934, 0.32520331605363934, 0, 1, 1)
5: ('Journal Transcript', 0.30888885286241996, 0.30888885286241996, 0, 1, 17)
6: ('Investasi Kontan', 0.21830982545660726, 0, -0.21830982545660726, 1, 1)
7: ('ETF Strategy', 0.2142856905274845, 0, -0.2142856905274845, 1, 1)
8: ('PR Newswire (press release)', 0.18431720153549597, 0.3515579014025293, -0.0962957805528469, 5, 29)
9: ('Marijuana Business Daily', 0.16228069920141847, 0.08333328482695154, -0.16666666666666663, 1, 19)
10: ('Genetic Engineering & Biotechnology News', 0.14285717934978315, 0.14285717934978315, 0, 1, 3)
11: ('Wicked Local Hingham', 0.14285717934978315, 0.14285717934978315, 0, 1, 1)
12: ('The Oracle Dispatch', 0.14221593164207877, 0.2174184523759413, -0.09603894522654899, 2, 92)
13: ('The Scientist', 0.13849286288253554, 0.13849286288253554, 0, 1, 1)
14: ('Jewish Telegraphic Agency', 0.12008283050591126, 0, -0.12008283050591126, 1, 1)
15: ('Seeking Alpha', 0.11554772264648043, 0.2, -0.03109544529296084, 2, 2)
16: ('The Advocate', 0.10497241062266768, 0.10497241062266768, 0, 1, 1)
17: ('Business Wire (press release)', 0.09332560665795891, 0.08226933254257082, -0.14722494297047603, 3, 47)
18: ('New York Times (blog)', 0.09101782918306328, 0.09101782918306328, 0, 1, 3)
19: ('PotStockNews', 0.08333328482695154, 0.08333328482695154, 0, 1, 1)
20: ('Canada NewsWire (press release)', 0.08333328482695154, 0.08333328482695154, 0, 1, 1)
21: ('Motley Fool', 0.08214941024363652, 0.10826941629847024, -0.06038273853127509, 3, 11)
22: ('OCRegister', 0.07692308974817579, 0.07692308974817579, 0, 1, 1)
23: ('wealthprofessional.ca', 0.07692303559219354, 0, -0.07692303559219354, 1, 1)
24: ('The Hindu', 0.07657660995633826, 0.07657660995633826, 0, 1, 1)
25: ('BusinessWorld Online', 0.0747662801723432, 0.0747662801723432, 0, 1, 1)
26: ('Money Morning', 0.07258067152130472, 0, -0.07258067152130472, 1, 1)
27: ('Alpha finews (press release)', 0.06877159253436235, 0.008356538191369898, -0.12918664687735482, 2, 2)
28: ('Associated Press (press release)', 0.06808507231739855, 0, -0.06808507231739855, 1, 1)
29: ('MarketWatch', 0.06604723414366817, 0.06867014000394757, -0.06461655821987942, 7, 17)
30: ('The Straits Times', 0.06416060742677263, 0.002347194012268221, -0.15688072754852925, 1, 5)
31: ('Dhaka Tribune', 0.0613497023653079, 0.0613497023653079, 0, 1, 1)
32: ('Leafly', 0.06013512106155167, 0, -0.06013512106155167, 1, 1)
33: ('Spectator.co.uk', 0.06013512106155167, 0, -0.06013512106155167, 1, 1)
34: ('MicroCap Daily', 0.05998655870820254, 0.01587298888836081, -0.0820433436181234, 3, 3)
35: ('Yahoo Finance', 0.05889970858806925, 0.04154178760788507, -0.07186321919352322, 8, 138)
36: ('Guru Online News (press release)', 0.05714285019187829, 0, -0.05714285019187829, 1, 1)
37: ('ARIVA.DE Finanznachrichten', 0.057121379854719254, 0.07805945896371087, -0.025714261191231862, 1, 5)
38: ('State Reviewer', 0.05661847635661893, 0.06083135148834391, -0.04819272609316896, 3, 3)
39: ('The Business Times', 0.054618776951690685, 0.027616177984752768, -0.12662570753019178, 1, 11)
40: ('GlobeNewswire (press release)', 0.054235272128808965, 0.07606226686890057, -0.04356429692254195, 7, 67)
41: ('Journal of Virology', 0.05419225397865333, 0.08888892279730903, -0.05270525388642523, 1, 73)
42: ('Mayfield Recorder', 0.0537313647407237, 0.0537313647407237, 0, 1, 1)
43: ('Playbill.com', 0.05263158926673246, 0, -0.05263158926673246, 1, 1)
44: ('PRNewswire (press release)', 0.05192046264447835, 0.06471676327035039, -0.04585905708485474, 6, 28)
45: ('Markets Insider', 0.05189842499023769, 0.0373233571023147, -0.06404431489684016, 3, 11)
46: ('Washington Post', 0.04994708069565477, 0, -0.04994708069565477, 1, 3)
47: ('Alpha Stock News', 0.048140100386217216, 0, -0.048140100386217216, 1, 1)
48: ('Seattle Times', 0.048117156689980144, 0, -0.048117156689980144, 1, 1)
49: ('Value The Markets', 0.048117156689980144, 0, -0.048117156689980144, 1, 1)
50: ('CNBC', 0.04811227849798205, 0.03903966683152964, -0.07079380766411308, 3, 7)
51: ('The Lamp News', 0.04673422260860238, 0.06362072421630029, -0.04110538873936974, 4, 12)
52: ('Market Seat', 0.045519914589834586, 0.040140560028481514, -0.050899269151187664, 2, 6)
53: ('Benzinga', 0.04401505918837506, 0.0646874386329829, -0.01770475807705597, 7, 25)
54: ('E Globalist', 0.04313928988175425, 0.011161172611309698, -0.0751174071521988, 2, 4)
55: ('NEWS SCANNER', 0.04255315263436308, 0, -0.04255315263436308, 1, 1)
56: ('El Tapin de la Pola', 0.040772545802973334, 0, -0.040772545802973334, 1, 1)
57: ('Economic Times', 0.04074443089470234, 0.0032894680408085937, -0.050108171608175774, 2, 10)
58: ('WVXU', 0.03937008566921138, 0, -0.03937008566921138, 1, 1)
59: ('Colombo Page', 0.039054612495274976, 0.039054612495274976, 0, 1, 3)
60: ('The Edge Markets MY', 0.03898640967654082, 0, -0.03898640967654082, 1, 1)
